[bulk_export] 10 task files under /home/u25s065008/datasets/libero/libero_goal
[bulk_export] 5583 clips planned ({'pool': 5583})
[bulk_export] starting 500 demo jobs with num_workers=2 (skipped_clips=0)
[bulk_export] demos=27/500 source_group=27/500 clips=332/5583 (done=332 skip=0 fail=0) elapsed=51.5min eta=815.1min
[bulk_export] demos=28/500 source_group=28/500 clips=346/5583 (done=346 skip=0 fail=0) elapsed=53.1min eta=803.0min
[bulk_export] demos=29/500 source_group=29/500 clips=363/5583 (done=363 skip=0 fail=0) elapsed=55.0min eta=790.9min
[bulk_export] demos=30/500 source_group=30/500 clips=376/5583 (done=376 skip=0 fail=0) elapsed=56.5min eta=782.2min
[bulk_export] demos=31/500 source_group=31/500 clips=388/5583 (done=388 skip=0 fail=0) elapsed=58.0min eta=776.0min
[bulk_export] demos=32/500 source_group=32/500 clips=406/5583 (done=406 skip=0 fail=0) elapsed=61.7min eta=786.5min
[bulk_export] demos=33/500 source_group=33/500 clips=421/5583 (done=421 skip=0 fail=0) elapsed=62.8min eta=770.2min
[bulk_export] demos=34/500 source_group=34/500 clips=433/5583 (done=433 skip=0 fail=0) elapsed=64.5min eta=767.7min
[bulk_export] demos=35/500 source_group=35/500 clips=446/5583 (done=446 skip=0 fail=0) elapsed=67.0min eta=772.2min
[bulk_export] demos=36/500 source_group=36/500 clips=459/5583 (done=459 skip=0 fail=0) elapsed=69.2min eta=772.0min
[bulk_export] demos=37/500 source_group=37/500 clips=470/5583 (done=470 skip=0 fail=0) elapsed=69.3min eta=754.1min
[bulk_export] demos=38/500 source_group=39/500 clips=481/5583 (done=481 skip=0 fail=0) elapsed=71.6min eta=759.4min
[bulk_export] demos=39/500 source_group=38/500 clips=493/5583 (done=493 skip=0 fail=0) elapsed=73.4min eta=758.2min
[bulk_export] demos=40/500 source_group=40/500 clips=504/5583 (done=504 skip=0 fail=0) elapsed=73.7min eta=742.6min
[bulk_export] demos=41/500 source_group=42/500 clips=516/5583 (done=516 skip=0 fail=0) elapsed=76.1min eta=747.3min
[bulk_export] demos=42/500 source_group=41/500 clips=529/5583 (done=529 skip=0 fail=0) elapsed=77.4min eta=739.2min
[bulk_export] demos=43/500 source_group=43/500 clips=541/5583 (done=541 skip=0 fail=0) elapsed=79.2min eta=738.4min
[bulk_export] demos=44/500 source_group=44/500 clips=552/5583 (done=552 skip=0 fail=0) elapsed=80.9min eta=737.5min
[bulk_export] demos=45/500 source_group=45/500 clips=564/5583 (done=564 skip=0 fail=0) elapsed=82.1min eta=730.9min
[bulk_export] demos=46/500 source_group=46/500 clips=576/5583 (done=576 skip=0 fail=0) elapsed=83.7min eta=727.6min
[bulk_export] demos=47/500 source_group=47/500 clips=587/5583 (done=587 skip=0 fail=0) elapsed=85.6min eta=728.5min
[bulk_export] demos=48/500 source_group=48/500 clips=598/5583 (done=598 skip=0 fail=0) elapsed=86.2min eta=718.7min
[bulk_export] demos=49/500 source_group=50/500 clips=609/5583 (done=609 skip=0 fail=0) elapsed=88.6min eta=723.8min
[bulk_export] demos=50/500 source_group=49/500 clips=622/5583 (done=622 skip=0 fail=0) elapsed=88.7min eta=707.4min
[bulk_export] demos=51/500 source_group=52/500 clips=639/5583 (done=639 skip=0 fail=0) elapsed=92.7min eta=717.5min
[bulk_export] demos=52/500 source_group=51/500 clips=654/5583 (done=654 skip=0 fail=0) elapsed=93.1min eta=701.9min
[bulk_export] demos=53/500 source_group=54/500 clips=672/5583 (done=672 skip=0 fail=0) elapsed=97.0min eta=709.1min
[bulk_export] demos=54/500 source_group=53/500 clips=699/5583 (done=699 skip=0 fail=0) elapsed=101.4min eta=708.5min
[bulk_export] demos=55/500 source_group=56/500 clips=715/5583 (done=715 skip=0 fail=0) elapsed=105.0min eta=714.8min
[bulk_export] demos=56/500 source_group=55/500 clips=738/5583 (done=738 skip=0 fail=0) elapsed=105.0min eta=689.2min
[bulk_export] demos=57/500 source_group=57/500 clips=754/5583 (done=754 skip=0 fail=0) elapsed=109.1min eta=698.9min
[bulk_export] demos=58/500 source_group=58/500 clips=773/5583 (done=773 skip=0 fail=0) elapsed=111.8min eta=696.0min
[bulk_export] demos=59/500 source_group=59/500 clips=790/5583 (done=790 skip=0 fail=0) elapsed=112.5min eta=682.6min
[bulk_export] demos=60/500 source_group=60/500 clips=806/5583 (done=806 skip=0 fail=0) elapsed=115.1min eta=682.4min
[bulk_export] demos=61/500 source_group=61/500 clips=834/5583 (done=834 skip=0 fail=0) elapsed=118.1min eta=672.5min
[bulk_export] demos=62/500 source_group=62/500 clips=855/5583 (done=855 skip=0 fail=0) elapsed=119.4min eta=660.2min
[bulk_export] demos=63/500 source_group=63/500 clips=875/5583 (done=875 skip=0 fail=0) elapsed=122.5min eta=659.0min
[bulk_export] demos=64/500 source_group=64/500 clips=892/5583 (done=892 skip=0 fail=0) elapsed=122.8min eta=645.7min
[bulk_export] demos=65/500 source_group=65/500 clips=908/5583 (done=908 skip=0 fail=0) elapsed=126.0min eta=648.7min
[bulk_export] demos=66/500 source_group=66/500 clips=925/5583 (done=925 skip=0 fail=0) elapsed=126.2min eta=635.4min
[bulk_export] demos=67/500 source_group=68/500 clips=941/5583 (done=941 skip=0 fail=0) elapsed=129.2min eta=637.4min
[bulk_export] demos=68/500 source_group=67/500 clips=964/5583 (done=964 skip=0 fail=0) elapsed=131.8min eta=631.7min
[bulk_export] demos=69/500 source_group=69/500 clips=981/5583 (done=981 skip=0 fail=0) elapsed=133.0min eta=623.9min
[bulk_export] demos=70/500 source_group=70/500 clips=999/5583 (done=999 skip=0 fail=0) elapsed=135.5min eta=622.0min
[bulk_export] demos=71/500 source_group=71/500 clips=1016/5583 (done=1016 skip=0 fail=0) elapsed=136.5min eta=613.6min
[bulk_export] demos=72/500 source_group=72/500 clips=1031/5583 (done=1031 skip=0 fail=0) elapsed=138.6min eta=611.9min
[bulk_export] demos=73/500 source_group=73/500 clips=1051/5583 (done=1051 skip=0 fail=0) elapsed=140.5min eta=605.7min
[bulk_export] demos=74/500 source_group=74/500 clips=1069/5583 (done=1069 skip=0 fail=0) elapsed=142.3min eta=600.8min
[bulk_export] demos=75/500 source_group=76/500 clips=1086/5583 (done=1086 skip=0 fail=0) elapsed=145.6min eta=602.7min
[bulk_export] demos=76/500 source_group=75/500 clips=1106/5583 (done=1106 skip=0 fail=0) elapsed=146.9min eta=594.5min
[bulk_export] demos=77/500 source_group=77/500 clips=1127/5583 (done=1127 skip=0 fail=0) elapsed=149.8min eta=592.3min
[bulk_export] demos=78/500 source_group=78/500 clips=1144/5583 (done=1144 skip=0 fail=0) elapsed=150.3min eta=583.2min
[bulk_export] demos=79/500 source_group=80/500 clips=1163/5583 (done=1163 skip=0 fail=0) elapsed=153.9min eta=585.0min
[bulk_export] demos=80/500 source_group=79/500 clips=1188/5583 (done=1188 skip=0 fail=0) elapsed=154.6min eta=571.8min
[bulk_export] demos=81/500 source_group=82/500 clips=1207/5583 (done=1207 skip=0 fail=0) elapsed=158.3min eta=573.8min
[bulk_export] demos=82/500 source_group=81/500 clips=1225/5583 (done=1225 skip=0 fail=0) elapsed=159.4min eta=567.0min
[bulk_export] demos=83/500 source_group=83/500 clips=1243/5583 (done=1243 skip=0 fail=0) elapsed=162.0min eta=565.7min
[bulk_export] demos=84/500 source_group=84/500 clips=1262/5583 (done=1262 skip=0 fail=0) elapsed=163.4min eta=559.3min
[bulk_export] demos=85/500 source_group=85/500 clips=1280/5583 (done=1280 skip=0 fail=0) elapsed=165.7min eta=557.2min
[bulk_export] demos=86/500 source_group=86/500 clips=1297/5583 (done=1297 skip=0 fail=0) elapsed=168.1min eta=555.5min
[bulk_export] demos=87/500 source_group=87/500 clips=1318/5583 (done=1318 skip=0 fail=0) elapsed=171.8min eta=556.0min
[bulk_export] demos=88/500 source_group=88/500 clips=1339/5583 (done=1339 skip=0 fail=0) elapsed=174.1min eta=551.7min
[bulk_export] demos=89/500 source_group=89/500 clips=1356/5583 (done=1356 skip=0 fail=0) elapsed=176.5min eta=550.2min
[bulk_export] demos=90/500 source_group=90/500 clips=1373/5583 (done=1373 skip=0 fail=0) elapsed=177.9min eta=545.4min
[bulk_export] demos=91/500 source_group=92/500 clips=1389/5583 (done=1389 skip=0 fail=0) elapsed=181.3min eta=547.3min
[bulk_export] demos=92/500 source_group=91/500 clips=1406/5583 (done=1406 skip=0 fail=0) elapsed=181.7min eta=539.7min
[bulk_export] demos=93/500 source_group=93/500 clips=1425/5583 (done=1425 skip=0 fail=0) elapsed=185.5min eta=541.2min
[bulk_export] demos=94/500 source_group=94/500 clips=1443/5583 (done=1443 skip=0 fail=0) elapsed=187.1min eta=536.8min
[bulk_export] demos=95/500 source_group=95/500 clips=1461/5583 (done=1461 skip=0 fail=0) elapsed=189.6min eta=534.8min
[bulk_export] demos=96/500 source_group=96/500 clips=1481/5583 (done=1481 skip=0 fail=0) elapsed=192.4min eta=532.8min
[bulk_export] demos=97/500 source_group=97/500 clips=1498/5583 (done=1498 skip=0 fail=0) elapsed=193.1min eta=526.6min
[bulk_export] demos=98/500 source_group=99/500 clips=1517/5583 (done=1517 skip=0 fail=0) elapsed=197.1min eta=528.3min
[bulk_export] demos=99/500 source_group=98/500 clips=1541/5583 (done=1541 skip=0 fail=0) elapsed=197.5min eta=518.2min
[bulk_export] demos=100/500 source_group=101/500 clips=1555/5583 (done=1555 skip=0 fail=0) elapsed=200.5min eta=519.3min
[bulk_export] demos=101/500 source_group=100/500 clips=1574/5583 (done=1574 skip=0 fail=0) elapsed=201.2min eta=512.6min
[bulk_export] demos=102/500 source_group=102/500 clips=1585/5583 (done=1585 skip=0 fail=0) elapsed=203.4min eta=512.9min
[bulk_export] demos=103/500 source_group=103/500 clips=1596/5583 (done=1596 skip=0 fail=0) elapsed=203.6min eta=508.7min
[bulk_export] demos=104/500 source_group=104/500 clips=1614/5583 (done=1614 skip=0 fail=0) elapsed=207.3min eta=509.8min
[bulk_export] demos=105/500 source_group=105/500 clips=1632/5583 (done=1632 skip=0 fail=0) elapsed=207.4min eta=502.1min
[bulk_export] demos=106/500 source_group=106/500 clips=1642/5583 (done=1642 skip=0 fail=0) elapsed=209.6min eta=503.1min
[bulk_export] demos=107/500 source_group=107/500 clips=1656/5583 (done=1656 skip=0 fail=0) elapsed=211.2min eta=500.8min
[bulk_export] demos=108/500 source_group=108/500 clips=1667/5583 (done=1667 skip=0 fail=0) elapsed=212.0min eta=498.1min
[bulk_export] demos=109/500 source_group=109/500 clips=1679/5583 (done=1679 skip=0 fail=0) elapsed=214.5min eta=498.8min
[bulk_export] demos=110/500 source_group=110/500 clips=1692/5583 (done=1692 skip=0 fail=0) elapsed=215.4min eta=495.4min
[bulk_export] demos=111/500 source_group=111/500 clips=1712/5583 (done=1712 skip=0 fail=0) elapsed=218.7min eta=494.5min
[bulk_export] demos=112/500 source_group=112/500 clips=1725/5583 (done=1725 skip=0 fail=0) elapsed=219.0min eta=489.9min
[bulk_export] demos=113/500 source_group=114/500 clips=1739/5583 (done=1739 skip=0 fail=0) elapsed=221.8min eta=490.3min
[bulk_export] demos=114/500 source_group=113/500 clips=1752/5583 (done=1752 skip=0 fail=0) elapsed=221.9min eta=485.3min
[bulk_export] demos=115/500 source_group=116/500 clips=1764/5583 (done=1764 skip=0 fail=0) elapsed=225.0min eta=487.2min
[bulk_export] demos=116/500 source_group=115/500 clips=1780/5583 (done=1780 skip=0 fail=0) elapsed=225.4min eta=481.5min
[bulk_export] demos=117/500 source_group=118/500 clips=1792/5583 (done=1792 skip=0 fail=0) elapsed=228.3min eta=482.9min
[bulk_export] demos=118/500 source_group=117/500 clips=1811/5583 (done=1811 skip=0 fail=0) elapsed=229.9min eta=478.8min
[bulk_export] demos=119/500 source_group=119/500 clips=1826/5583 (done=1826 skip=0 fail=0) elapsed=231.7min eta=476.6min
[bulk_export] demos=120/500 source_group=120/500 clips=1841/5583 (done=1841 skip=0 fail=0) elapsed=233.9min eta=475.4min
[bulk_export] demos=121/500 source_group=121/500 clips=1857/5583 (done=1857 skip=0 fail=0) elapsed=234.8min eta=471.2min
[bulk_export] demos=122/500 source_group=123/500 clips=1870/5583 (done=1870 skip=0 fail=0) elapsed=237.6min eta=471.7min
[bulk_export] demos=123/500 source_group=122/500 clips=1883/5583 (done=1883 skip=0 fail=0) elapsed=237.7min eta=467.0min
[bulk_export] demos=124/500 source_group=124/500 clips=1894/5583 (done=1894 skip=0 fail=0) elapsed=240.5min eta=468.5min
[bulk_export] demos=125/500 source_group=125/500 clips=1909/5583 (done=1909 skip=0 fail=0) elapsed=241.4min eta=464.6min
[bulk_export] demos=126/500 source_group=126/500 clips=1923/5583 (done=1923 skip=0 fail=0) elapsed=243.5min eta=463.4min
[bulk_export] demos=127/500 source_group=127/500 clips=1936/5583 (done=1936 skip=0 fail=0) elapsed=244.8min eta=461.1min
[bulk_export] demos=128/500 source_group=128/500 clips=1956/5583 (done=1956 skip=0 fail=0) elapsed=247.8min eta=459.6min
[bulk_export] demos=129/500 source_group=129/500 clips=1969/5583 (done=1969 skip=0 fail=0) elapsed=248.2min eta=455.6min
[bulk_export] demos=130/500 source_group=130/500 clips=1981/5583 (done=1981 skip=0 fail=0) elapsed=250.6min eta=455.7min
[bulk_export] demos=131/500 source_group=131/500 clips=1994/5583 (done=1994 skip=0 fail=0) elapsed=251.7min eta=453.0min
[bulk_export] demos=132/500 source_group=132/500 clips=2006/5583 (done=2006 skip=0 fail=0) elapsed=253.3min eta=451.6min
[bulk_export] demos=133/500 source_group=133/500 clips=2016/5583 (done=2016 skip=0 fail=0) elapsed=254.6min eta=450.5min
[bulk_export] demos=134/500 source_group=134/500 clips=2027/5583 (done=2027 skip=0 fail=0) elapsed=256.2min eta=449.5min
[bulk_export] demos=135/500 source_group=135/500 clips=2041/5583 (done=2041 skip=0 fail=0) elapsed=258.4min eta=448.4min
[bulk_export] demos=136/500 source_group=136/500 clips=2056/5583 (done=2056 skip=0 fail=0) elapsed=259.3min eta=444.9min
[bulk_export] demos=137/500 source_group=137/500 clips=2069/5583 (done=2069 skip=0 fail=0) elapsed=262.6min eta=446.0min
[bulk_export] demos=138/500 source_group=138/500 clips=2088/5583 (done=2088 skip=0 fail=0) elapsed=263.5min eta=441.0min
[bulk_export] demos=139/500 source_group=139/500 clips=2100/5583 (done=2100 skip=0 fail=0) elapsed=265.2min eta=439.8min
[bulk_export] demos=140/500 source_group=140/500 clips=2113/5583 (done=2113 skip=0 fail=0) elapsed=266.2min eta=437.1min
[bulk_export] demos=141/500 source_group=141/500 clips=2124/5583 (done=2124 skip=0 fail=0) elapsed=268.4min eta=437.0min
[bulk_export] demos=142/500 source_group=142/500 clips=2141/5583 (done=2141 skip=0 fail=0) elapsed=271.2min eta=435.9min
[bulk_export] demos=143/500 source_group=143/500 clips=2152/5583 (done=2152 skip=0 fail=0) elapsed=271.7min eta=433.1min
[bulk_export] demos=144/500 source_group=144/500 clips=2169/5583 (done=2169 skip=0 fail=0) elapsed=274.5min eta=432.0min
[bulk_export] demos=145/500 source_group=145/500 clips=2182/5583 (done=2182 skip=0 fail=0) elapsed=276.3min eta=430.7min
[bulk_export] demos=146/500 source_group=146/500 clips=2194/5583 (done=2194 skip=0 fail=0) elapsed=276.9min eta=427.7min
[bulk_export] demos=147/500 source_group=147/500 clips=2206/5583 (done=2206 skip=0 fail=0) elapsed=280.1min eta=428.8min
[bulk_export] demos=148/500 source_group=148/500 clips=2219/5583 (done=2219 skip=0 fail=0) elapsed=280.2min eta=424.7min
[bulk_export] demos=149/500 source_group=150/500 clips=2229/5583 (done=2229 skip=0 fail=0) elapsed=282.2min eta=424.6min
[bulk_export] demos=150/500 source_group=151/500 clips=2236/5583 (done=2236 skip=0 fail=0) elapsed=283.8min eta=424.8min
[bulk_export] demos=151/500 source_group=152/500 clips=2243/5583 (done=2243 skip=0 fail=0) elapsed=285.3min eta=424.9min
[bulk_export] demos=152/500 source_group=149/500 clips=2260/5583 (done=2260 skip=0 fail=0) elapsed=285.6min eta=419.9min
[bulk_export] demos=153/500 source_group=153/500 clips=2268/5583 (done=2268 skip=0 fail=0) elapsed=287.1min eta=419.6min
[bulk_export] demos=154/500 source_group=154/500 clips=2276/5583 (done=2276 skip=0 fail=0) elapsed=288.3min eta=419.0min
[bulk_export] demos=155/500 source_group=155/500 clips=2282/5583 (done=2282 skip=0 fail=0) elapsed=288.4min eta=417.2min
[bulk_export] demos=156/500 source_group=157/500 clips=2291/5583 (done=2291 skip=0 fail=0) elapsed=290.3min eta=417.1min
